time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,27,10,0,0
2026-04-19 00:00:00+00:00,36,13,0,0
2026-04-20 00:00:00+00:00,62,23,0,0
2026-04-21 00:00:00+00:00,63,26,0,0
2026-04-22 00:00:00+00:00,90,29,0,0
2026-04-23 00:00:00+00:00,94,34,0,0
2026-04-24 00:00:00+00:00,90,33,0,0
2026-04-25 00:00:00+00:00,63,24,0,0
2026-04-26 00:00:00+00:00,11,4,0,0
2026-04-27 00:00:00+00:00,1,1,0,0
2026-04-28 00:00:00+00:00,15,6,0,0
2026-04-29 00:00:00+00:00,15,5,0,0
2026-04-30 00:00:00+00:00,33,7,0,0
2026-05-01 00:00:00+00:00,18,4,0,0
