url_path,views_total,views_unique
/sysbio-curie/NaviCell/tree/master/map_construction_procedures,12,2
/sysbio-curie/NaviCell,4,3
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/NaviCellMapperAdminGuide.pdf,4,1
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/NaviCell_Maps_Preparation_Procedure.pdf,4,1
/sysbio-curie/NaviCell/tree/master/auxiliary_scripts,2,1
/sysbio-curie/NaviCell/tree/master/bindings,2,1
/sysbio-curie/NaviCell/tree/master/factory,2,1
/sysbio-curie/NaviCell/tree/master/.github,2,1
/sysbio-curie/NaviCell/tree/master/map_construction_procedures/procedure_scripts,2,1
/sysbio-curie/NaviCell/upload,1,1
