time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,17,7,0,0
2026-06-18 00:00:00+00:00,22,7,0,0
2026-06-19 00:00:00+00:00,56,12,0,0
2026-06-20 00:00:00+00:00,34,9,1,1
2026-06-21 00:00:00+00:00,32,8,1,1
2026-06-22 00:00:00+00:00,35,11,0,0
2026-06-23 00:00:00+00:00,42,12,2,1
2026-06-24 00:00:00+00:00,42,13,0,0
2026-06-25 00:00:00+00:00,26,7,0,0
2026-06-26 00:00:00+00:00,13,4,0,0
2026-06-27 00:00:00+00:00,15,6,0,0
2026-06-28 00:00:00+00:00,19,9,1,1
2026-06-29 00:00:00+00:00,14,5,0,0
2026-06-30 00:00:00+00:00,9,4,0,0
