url_path,views_total,views_unique
/sysbio-curie/NaviCell,8,5
/sysbio-curie/NaviCell/tree/master/factory,5,1
/sysbio-curie/NaviCell/tree/master,4,1
/sysbio-curie/NaviCell/tree/master/src,3,1
/sysbio-curie/NaviCell/tree/master/factory/data,2,1
/sysbio-curie/NaviCell/blob/master/factory/data/map.png,1,1
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/NaviCellMapperAdminGuide.pdf,1,1
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/NaviCell_Maps_Preparation_Procedure.pdf,1,1
/sysbio-curie/NaviCell/blob/master/site/docroot/navicell/lib/bootstrap-icons-1.4.1-dist/icons/tv.svg,1,1
/sysbio-curie/NaviCell/blob/master/tutorials/Build_Simple.md,1,1
