time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,14,5,0,0
2026-06-10 00:00:00+00:00,11,7,0,0
2026-06-11 00:00:00+00:00,16,6,0,0
2026-06-12 00:00:00+00:00,1,1,0,0
2026-06-13 00:00:00+00:00,22,7,0,0
2026-06-14 00:00:00+00:00,11,6,0,0
2026-06-15 00:00:00+00:00,22,7,0,0
2026-06-16 00:00:00+00:00,11,6,0,0
2026-06-17 00:00:00+00:00,17,7,0,0
2026-06-18 00:00:00+00:00,22,7,0,0
2026-06-19 00:00:00+00:00,56,12,0,0
2026-06-20 00:00:00+00:00,34,9,1,1
2026-06-21 00:00:00+00:00,32,8,1,1
2026-06-22 00:00:00+00:00,35,11,0,0
