time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-08 00:00:00+00:00,25,9,,
2025-11-09 00:00:00+00:00,4,4,1.0,1.0
2025-11-10 00:00:00+00:00,8,6,1.0,1.0
2025-11-11 00:00:00+00:00,16,6,,
2025-11-12 00:00:00+00:00,3,2,,
2025-11-13 00:00:00+00:00,12,6,,
2025-11-14 00:00:00+00:00,10,5,,
2025-11-15 00:00:00+00:00,4,3,,
2025-11-16 00:00:00+00:00,4,4,,
2025-11-17 00:00:00+00:00,3,3,3.0,1.0
2025-11-18 00:00:00+00:00,4,4,,
2025-11-19 00:00:00+00:00,5,5,,
2025-11-20 00:00:00+00:00,6,5,1.0,1.0
