time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,90,33,0,0
2026-04-25 00:00:00+00:00,63,24,0,0
2026-04-26 00:00:00+00:00,11,4,0,0
2026-04-27 00:00:00+00:00,1,1,0,0
2026-04-28 00:00:00+00:00,15,6,0,0
2026-04-29 00:00:00+00:00,15,5,0,0
2026-04-30 00:00:00+00:00,33,7,0,0
2026-05-01 00:00:00+00:00,18,4,0,0
2026-05-02 00:00:00+00:00,30,11,0,0
2026-05-03 00:00:00+00:00,20,8,0,0
2026-05-04 00:00:00+00:00,14,5,0,0
2026-05-05 00:00:00+00:00,32,7,0,0
2026-05-06 00:00:00+00:00,7,3,0,0
2026-05-07 00:00:00+00:00,8,3,0,0
