url_path,views_total,views_unique
/sysbio-curie/NaviCell,15,14
/sysbio-curie/NaviCell/tree/master/map_construction_procedures/procedure_scripts,6,1
/sysbio-curie/NaviCell/tree/master/map_construction_procedures,5,1
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/NaviCell_Maps_Preparation_Procedure.pdf,2,1
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/procedure_scripts/make_zoom_2.sh,2,1
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/procedure_scripts/merge_level_2.sh,2,1
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/procedure_scripts/scale_1_to_0.sh,2,1
/sysbio-curie/NaviCell/blob/master/map_construction_procedures/procedure_scripts/scale_2_to_1.sh,2,1
/sysbio-curie/NaviCell/tree/master,1,1
